UTC,Open,High,Low,Close,Volume
03.01.2022 05:35:00.000 UTC,1824.574,1825.168,1824.368,1825.118,0.01456
03.01.2022 05:36:00.000 UTC,1825.128,1825.158,1824.654,1824.684,0.00815
03.01.2022 05:37:00.000 UTC,1824.744,1825.108,1824.744,1825.054,0.01396
03.01.2022 05:38:00.000 UTC,1825.054,1825.054,1824.838,1824.968,0.01774
03.01.2022 05:39:00.000 UTC,1824.988,1824.988,1824.678,1824.888,0.00983
03.01.2022 05:40:00.000 UTC,1824.888,1824.918,1824.728,1824.878,0.00585
03.01.2022 05:41:00.000 UTC,1824.878,1824.898,1824.808,1824.858,0.00525
03.01.2022 05:42:00.000 UTC,1824.888,1825.048,1824.804,1825.008,0.0081
03.01.2022 05:43:00.000 UTC,1824.988,1824.998,1824.818,1824.834,0.00477
03.01.2022 05:44:00.000 UTC,1824.868,1825.238,1824.868,1825.218,0.02451
03.01.2022 05:45:00.000 UTC,1825.218,1825.218,1825.058,1825.135,0.01762
03.01.2022 05:46:00.000 UTC,1825.135,1825.135,1825.115,1825.115,0.01023
03.01.2022 05:47:00.000 UTC,1825.115,1825.158,1824.908,1825.158,0.02004
03.01.2022 05:48:00.000 UTC,1825.208,1825.524,1825.208,1825.524,0.00925
03.01.2022 05:49:00.000 UTC,1825.444,1825.528,1825.374,1825.528,0.0152
03.01.2022 05:50:00.000 UTC,1825.518,1825.528,1825.408,1825.478,0.00315
03.01.2022 05:51:00.000 UTC,1825.478,1825.498,1825.334,1825.348,0.00462
03.01.2022 05:52:00.000 UTC,1825.338,1825.464,1825.338,1825.458,0.00697
03.01.2022 05:53:00.000 UTC,1825.438,1825.468,1825.408,1825.438,0.00639
03.01.2022 05:54:00.000 UTC,1825.438,1825.458,1825.408,1825.408,0.004
03.01.2022 05:55:00.000 UTC,1825.418,1825.648,1825.418,1825.548,0.01782
03.01.2022 05:56:00.000 UTC,1825.538,1825.538,1825.358,1825.438,0.0103
03.01.2022 05:57:00.000 UTC,1825.448,1825.458,1825.358,1825.428,0.01103
03.01.2022 05:58:00.000 UTC,1825.348,1825.458,1825.348,1825.358,0.01473
03.01.2022 05:59:00.000 UTC,1825.358,1825.378,1825.308,1825.338,0.00911
03.01.2022 06:00:00.000 UTC,1825.328,1825.518,1825.048,1825.458,0.01144
03.01.2022 06:01:00.000 UTC,1825.458,1825.538,1825.424,1825.444,0.01375
03.01.2022 06:02:00.000 UTC,1825.444,1825.464,1825.364,1825.394,0.00435
03.01.2022 06:03:00.000 UTC,1825.374,1825.444,1825.354,1825.424,0.00555
03.01.2022 06:04:00.000 UTC,1825.414,1825.598,1825.414,1825.578,0.00727
03.01.2022 06:05:00.000 UTC,1825.578,1825.618,1825.368,1825.458,0.01231
03.01.2022 06:06:00.000 UTC,1825.458,1825.458,1825.248,1825.364,0.01753
03.01.2022 06:07:00.000 UTC,1825.434,1825.528,1825.248,1825.418,0.0108
03.01.2022 06:08:00.000 UTC,1825.378,1825.398,1825.285,1825.285,0.01238
03.01.2022 06:09:00.000 UTC,1825.285,1825.285,1825.255,1825.255,0.0176
03.01.2022 06:10:00.000 UTC,1825.255,1825.255,1824.858,1824.868,0.01363
03.01.2022 06:11:00.000 UTC,1824.848,1825.078,1824.658,1825.058,0.01073
03.01.2022 06:12:00.000 UTC,1825.088,1825.358,1824.988,1825.328,0.0186
03.01.2022 06:13:00.000 UTC,1825.338,1825.348,1825.068,1825.148,0.02531
